id,ticket_id,user_id,agent_id,reward_type,amount_htg,win_code,status,created_at
edfdd765-8e70-46a1-88b4-6065c03dcb7d,7a5be3e5-81e3-4140-8070-8daaad441f18,670a9fae-7482-438c-9e77-38f2eb83bd7c,76739de7-e1dc-465c-9c56-8d444ff952ba,SCRATCH_CARD,50,153913,PAID,2026-01-01 17:17:03
94233dee-b485-441e-bb4a-70f72cde9b7d,a2436049-cf49-49e1-97bd-caa6ceba44e1,1b250c34-9550-4493-84f0-7a19372d5c51,149f4d62-7c86-49c4-97f3-ef34896f82bc,LUCKY_HOUR,50,238887,PAID,2026-01-01 17:44:09
d4bc144d-0628-45cc-ac54-8a4dab2a66ea,19c74206-2dd4-4130-88e9-52bbed96cd12,5bb11ac4-4cde-46cd-9fd6-145720a3b758,a7dbb825-403c-4d5f-9a5f-7a24b1eb9d57,SCRATCH_CARD,50,113503,EXPIRED,2026-01-01 08:38:33
9e9c872d-1157-480d-a34b-1d6b0124d211,f6cdbb09-e51c-4f54-8ee6-b23ded56c718,4e4b44fc-7c8a-48e5-86cc-26148cd6c92b,a7dbb825-403c-4d5f-9a5f-7a24b1eb9d57,SCRATCH_CARD,50,879355,PENDING,2026-01-01 17:01:16
d9c8574f-9837-42fc-8850-ce2f76ae7c21,adb73336-6435-47f6-9f86-a73754ddc8e0,452c029d-114e-4229-9ac9-bb65886d0b6b,2ef8917a-e215-41b1-98d4-29d621efc722,LUCKY_HOUR,50,684004,PAID,2026-01-01 11:07:11
1f4f10b2-ab53-4339-a64d-8c44d095d81b,a79cd7bb-cdd5-4798-a6f0-13bf1aaf8c87,38c946bd-793d-4412-8b41-8ccf28cda2f1,2eb8acc9-2634-48d4-b898-4b0a8b411f2d,STREAK_BONUS,200,766106,PAID,2026-01-01 11:01:42
181c4511-0f91-4dc2-bffc-3bd37b581fc4,eee041bd-2884-4fcf-a8c7-406a0266c46d,514021d3-fe48-4ed6-8ea7-f83972ba46bf,9b22c5b3-1596-4eb2-8331-3c61d4e821c4,LUCKY_HOUR,50,767723,PAID,2026-01-01 17:21:16
765a0706-0a0c-44b1-9f89-8c3786ff543e,617ab4ea-fd79-4ff1-9a97-0dea87b67a46,2958aabe-528b-4f2c-8c3a-9e03ecf85c57,ce4b97d4-2d85-498d-af5b-76d9c3ee6dda,SCRATCH_CARD,50,928107,PENDING,2026-01-01 11:19:38
ef3cab0d-d83d-4447-8c01-2c5a3e1ea35b,3158057c-7316-47b8-b356-4802451db12e,7d9e6eec-d9dc-4acb-acfa-5e0380077a95,3926bf47-83f4-4f12-afe2-25e75444a266,SCRATCH_CARD,50,987712,PAID,2026-01-01 11:13:25
e5c28f80-6429-4612-8b8d-5a0c38cb9ffa,9214a4df-a78c-46a5-9c16-4e8521678da4,693dbe42-d64d-4b00-9e66-ffa9ba3be8b1,aebc3340-952a-48dc-bca0-ca01be6ac3c3,SCRATCH_CARD,50,549090,PAID,2026-01-01 11:06:02
